,SKU,Product_Name,Product_Category,Price,Promo_Start_Date,Promo_End_Date,Comparison_Price,Comparison_Price_Type,Buy_Box_Item_Price,Buy_Box_Eligible,MSRP,Product_Tax_Code,Ship_Methods,Shipping_Weight,Fulfillment_Type,WFS_Sales_Restriction,Shelf_Name,Primary_Category_Path,Brand,Offer_Start_Date,Offer_End_Date,Item_Creation_Date,Reviews_Count,Average_Rating,Competitor_Price,Competitor_Ship_Price,Cost
903,Halley-Hera-Set4-Cream,"HALLEY Turkish Bath Towels Set - 4 Piece Bathroom Set, Ultra Soft, Machine Washable, Highly Absorbent, 100% Cotton - Luxury Spa Quality - Cream","Home Decor, Kitchen, & Other",24.99,2023-03-02,2023-05-31,24.99,Was Price,24.99,Yes,0.0,2039973,ALWAYS_TWO_DAY,1.8,Walmart Fulfilled,no restrictions,Bath Towels,"[""Home Page"",""Home"",""Bath"",""Bath Towels""]",HALLEY,2020-10-29,2049-12-20,2020-11-09,0,0.0,39.99,0.0,9.996
904,TD-2OJM-R572,"HALLEY Turkish Bath Towels Set - 4 Piece Bathroom Set, Ultra Soft, Machine Washable, Highly Absorbent, 100% Cotton - Luxury Spa Quality - Chocolate Brown","Home Decor, Kitchen, & Other",18.9,1970-01-01,1970-01-01,18.9,Was Price,18.9,Yes,0.0,2039973,ALWAYS_TWO_DAY,1.9,Walmart Fulfilled,no restrictions,Bath Towels,"[""Home Page"",""Home"",""Bath"",""Bath Towels""]",HALLEY,2021-01-21,2049-12-25,2021-01-29,0,0.0,23.99,0.0,7.56
905,020027212545-CB-P-L2-16.99,"Huskee 3255 Round Trash Can Dolly, 20 - 55 gal, 18 in Dia 5 in H, Polyethylene Plastic",Office,47.99,1970-01-01,1970-01-01,47.99,Was Price,47.99,Yes,62.83,2038710,NETWORK_GEO,5.0,Seller Fulfilled,no restrictions,Lifting Equipment,"[""Home Page"",""Home Improvement"",""Tools"",""Tool Equipment & Storage"",""Lifting Equipment""]",Continental Commercial Products,2023-06-16,2049-12-31,2016-05-03,0,0.0,66.49,0.0,19.196
906,817053020424-C-F-L1-21.99,"SmartyPants Women's Complete Multivitamin, 240 Adult Gummies",Medicine & Supplements,29.97,1970-01-01,1970-01-01,27.49,Was Price,40.58,Yes,48.55,2038318,ALWAYS_TWO_DAY,1.1,WFS Eligible,no restrictions,Gummy Vitamins,"[""Home Page"",""Health and Medicine"",""Vitamins and Supplements"",""Gummy Vitamins""]",SmartyPants,2022-10-02,2049-08-30,2017-12-28,75,4.6,30.99,0.0,11.988
907,817387020954-S-W-L1-19.98,Bentgo Fresh Lunch Box - Purple,"Home Decor, Kitchen, & Other",26.51,1970-01-01,1970-01-01,29.99,List Price,25.4,Yes,39.99,2038710,ALWAYS_TWO_DAY,9.2,WFS Eligible,no restrictions,Lunch Boxes & Bags,"[""Home Page"",""Home"",""Kitchen & Dining"",""Kitchen Storage & Organization"",""Lunch Boxes & Bags""]",Bentgo,2023-08-03,2049-12-31,2020-09-17,871,4.8,19.95,0.0,10.604000000000001
908,832856000817-C-P-L1-19.97,Eva-Dry 1200 ft 30 oz Mini Electric Dehumidifier,"Beauty, Personal Care, & Hygiene",33.99,1970-01-01,1970-01-01,56.9,Was Price,54.9,Yes,72.99,2038893,ALWAYS_TWO_DAY,2.68,WFS Eligible,no restrictions,Basement Dehumidifiers,"[""Home Page"",""Home Improvement"",""Heating, Cooling, & Air Quality"",""Air Quality"",""Dehumidifiers"",""Basement Dehumidifiers""]",Eva-Dry,2021-10-30,2049-12-29,2021-06-17,4,2.8,68.95,0.0,13.596000000000002
909,885837013795-C-P-L1-179.99,GreenPan Valencia Pro Ceramic Nonstick 11-Piece Cookware Set,"Home Decor, Kitchen, & Other",257.46,1970-01-01,1970-01-01,399.99,List Price,257.46,Yes,399.99,2038710,ALWAYS_TWO_DAY,10.0,Walmart Fulfilled,"CO,CA",Cookware Sets,"[""Home Page"",""Home"",""Kitchen & Dining"",""Pots & Pans"",""Cookware Sets""]",GreenPan,2023-08-21,2049-12-31,2018-05-19,1491,4.7,257.51,0.0,102.984
910,Halley-Lux-Bath2-Blue,"Halley Bath Towels 2-Pack - 100% Turkish Cotton Ultra Soft, Absorbent Bathroom Towels - Machine Washable - Blue","Home Decor, Kitchen, & Other",32.99,1970-01-01,1970-01-01,32.99,Was Price,32.99,Yes,0.0,2039973,ALWAYS_TWO_DAY,4.2,Walmart Fulfilled,no restrictions,Bath Towels,"[""Home Page"",""Home"",""Bath"",""Bath Towels""]",HALLEY,2021-09-14,2049-12-17,2021-09-28,0,0.0,32.99,0.0,13.196000000000002
911,Halley-Soldier-Set4-DarkGray,"HALLEY Decorative Bath Towels Set, 4 Piece - Turkish Towel Set with Floral Pattern, Highly Absorbent & Fade Resistant Fabric, 100% Cotton - DarkGray","Home Decor, Kitchen, & Other",26.99,1970-01-01,1970-01-01,26.99,Was Price,26.99,Yes,0.0,2039973,ALWAYS_TWO_DAY,1.75,Walmart Fulfilled,no restrictions,Turkish Towels,"[""Home Page"",""Home"",""Bath"",""Bath Towels"",""Turkish Towels""]",HALLEY,2023-12-21,2049-12-30,2023-12-22,0,0.0,0.0,0.0,10.796
912,Oliveoil-Shampoo,Bioblas Olive Oil Hair Shampoo| Restoring Damaged Hair & Soothing Scalp| Paraben & Dye Free| For All Hair Type-13fl.oz,"Beauty, Personal Care, & Hygiene",9.99,1970-01-01,1970-01-01,9.99,Was Price,9.99,Yes,0.0,2048134,ALWAYS_TWO_DAY,20.0,WFS Eligible,no restrictions,Dandruff Shampoo,"[""Home Page"",""Beauty"",""Hair Care"",""Shampoo"",""Dandruff Shampoo""]",HALLEY,2023-01-16,2049-12-23,2023-01-24,0,0.0,9.99,0.0,3.9960000000000004
913,016000435094-C-P-L1-5.99,"General Mills Cheerios Toasted Whole Grain Oat Cereal, 20.35 oz., 2 Count",Food & Beverage,20.5,1970-01-01,1970-01-01,19.95,Was Price,15.0,Yes,16.92,2038305,ALWAYS_TWO_DAY,2.1,Walmart Fulfilled,no restrictions,General Mills Cereal,"[""Home Page"",""Food"",""Breakfast & Cereal"",""Breakfast Cereal"",""General Mills Cereal""]",General Mills,2022-11-09,2049-11-15,2019-12-04,6,3.7,3.7,0.0,8.200000000000001
914,041570144695-CB-S-L1-9.69,"[Pack of 12] Blue Diamond Almonds Xtremes Ghost Pepper Flavored Spicy Snack Nuts, 1.5 Oz Tube",Household Cleaning Products & Supplies,20.9,1970-01-01,1970-01-01,24.47,Was Price,19.95,Yes,29.99,2040208,ALWAYS_TWO_DAY,10.0,Walmart Fulfilled,no restrictions,All Almonds,"[""Home Page"",""Food"",""Snacks, Cookies & Chips"",""Nuts, Trail Mix & Seeds"",""Almonds"",""All Almonds""]",Blue Diamond,2023-11-24,2049-12-31,2022-11-14,0,0.0,13.99,0.0,8.36
915,076808006889-S-P-L1-17.02,"Barilla® Classic Blue Box Pasta Elbows, Penne, and Spaghetti 6x16 oz",Food & Beverage,22.95,1970-01-01,1970-01-01,19.99,Was Price,19.99,Yes,41.75,2038305,NETWORK_GEO,6.8,Seller Fulfilled,no restrictions,Dry pasta,"[""Home Page"",""Food"",""Pantry"",""Pasta & pizza"",""Dry pasta""]",Barilla,2024-02-16,2049-12-31,2016-06-06,2026,4.8,0.0,0.0,9.18
916,309970197568-bstock-navyblue,Revlon Colorstay Micro Hyper Precise Gel Eyeliner with Smudger - 217 Navy,"Beauty, Personal Care, & Hygiene",7.18,1970-01-01,1970-01-01,7.18,Was Price,7.18,Yes,6.99,2048134,ALWAYS_TWO_DAY,1.0,Walmart Fulfilled,no restrictions,Pencil Eyeliner,"[""Home Page"",""Beauty"",""Makeup"",""Eye Makeup"",""Eyeliner"",""Pencil Eyeliner""]",Revlon,2024-01-30,2049-12-31,2023-11-10,0,0.0,5.99,0.0,2.872
917,635519139073-C-L2-F-5.99,Urban Accents Gourmet Gobbler Turkey Brining Kit,Food & Beverage,15.97,1970-01-01,1970-01-01,17.45,Was Price,15.97,Yes,10.99,2038305,ALWAYS_TWO_DAY,1.0,Walmart Fulfilled,no restrictions,Seasoning mixes & blends,"[""Home Page"",""Food"",""Pantry"",""Herbs, spices & seasoning mixes"",""Seasoning mixes & blends""]",Urban Accents,2017-04-28,2042-12-21,2016-05-05,18,4.5,13.6,0.0,6.388000000000001
918,orient-gift-box-white,"Orient Therapy Lavender Gift Box for Her, Moms, Wife,&nbsp;Girlfriends",Health & Beauty Electronics,49.49,1970-01-01,1970-01-01,49.49,Was Price,49.49,Yes,0.0,2038710,ALWAYS_TWO_DAY,1.0,Walmart Fulfilled,no restrictions,All Gift Baskets & Sets,"[""Home Page"",""Gifts & Registry"",""Gift Baskets"",""All Gift Baskets & Sets""]",ORIENT THERAPY,2023-05-24,2049-12-28,2023-05-27,0,0.0,49.99,0.0,19.796000000000003
919,048001005822-CB-P-L1-10.49,"Knorr Hollandaise Sauce Mix, 30.2 oz","Home Decor, Kitchen, & Other",22.32,1970-01-01,1970-01-01,27.75,Was Price,28.41,Yes,0.0,2038305,ALWAYS_TWO_DAY,2.09,WFS Eligible,no restrictions,Seasoning mixes & blends,"[""Home Page"",""Food"",""Pantry"",""Herbs, spices & seasoning mixes"",""Seasoning mixes & blends""]",Knorr,2022-02-08,2049-02-07,2020-10-16,180,3.6,27.3,0.0,8.928
920,070501040775-S-G-L2-19.99,"Neutrogena Rainbath Original Scent Shower Gel, 40 fl oz","Beauty, Personal Care, & Hygiene",27.7,1970-01-01,1970-01-01,28.48,Was Price,24.99,Yes,49.67,2048134,ALWAYS_TWO_DAY,1.0,WFS Eligible,no restrictions,Neutrogena Body Care,"[""Home Page"",""Personal Care"",""Bath & Body"",""Neutrogena Body Care""]",Neutrogena,2023-08-07,2049-12-31,2020-09-10,1768,4.8,34.99,0.0,11.08
921,073841567520-C-P-L1-8.89,"Sure Paws Pet Safe Ice Melt, 12 Pound",Other,34.99,1970-01-01,1970-01-01,0.0,List Price,34.99,Yes,24.99,2038710,NETWORK_GEO,12.0,Seller Fulfilled,no restrictions,Pet Safe Ice Melt,"[""Home Page"",""Patio & Garden"",""Outdoor Power Equipment"",""Snow Removal"",""Pet Safe Ice Melt""]",Sure Paws,2024-02-25,2029-10-22,2021-01-29,0,4.6,25.85,0.0,13.996000000000002
922,813085603239-CB-P-L1-4.97,"Edward Marc Orange Dream Almonds, 32 Ounce",Food & Beverage,17.85,1970-01-01,1970-01-01,17.85,Was Price,17.85,Yes,0.0,2040208,ALWAYS_TWO_DAY,2.0,Walmart Fulfilled,no restrictions,All Almonds,"[""Home Page"",""Food"",""Snacks, Cookies & Chips"",""Nuts, Trail Mix & Seeds"",""Almonds"",""All Almonds""]",Edward Marc Chocolatier,2023-08-04,2049-12-31,2023-06-27,2,3.0,19.22,0.0,7.140000000000001
923,814632014782-C-F-L2-79.97,CAT 1200 Peak AMP Digital Jump Starter,Electrical,179.99,1970-01-01,1970-01-01,139.0,Was Price,139.0,Yes,0.0,2038710,ALWAYS_TWO_DAY,13.0,WFS Eligible,no restrictions,Battery Jump Box,"[""Home Page"",""Auto & Tires"",""Automotive Tools & Equipment"",""Car Battery Chargers and Jump Starters"",""Car Jump Starters"",""Battery Jump Box""]",Supersale,2023-06-28,2049-12-31,2021-10-07,2,3.0,128.8,0.0,71.99600000000001
924,013971004359-C-S-L1-16.99,Organic Bare VARIETY PACK 20CT 0.6625LBS,Food & Beverage,31.89,1970-01-01,1970-01-01,31.89,Was Price,31.89,Yes,0.0,2038710,NETWORK_GEO,2.0,Seller Fulfilled,no restrictions,UNNAV,"[""UNNAV""]",TeviRoom,2024-01-13,2049-12-31,2023-12-22,0,0.0,21.89,0.0,12.756
925,016000439627-C-P-L1-15.89,"Nature Valley Chewy Protein Granola Bars, Peanut Butter Dark Chocolate, 30 Bars, 42.6 OZ",Food & Beverage,24.74,1970-01-01,1970-01-01,24.62,List Price,22.99,Yes,39.48,2048880,ALWAYS_TWO_DAY,4.0,Walmart Fulfilled,no restrictions,UNNAV,"[""UNNAV""]",Nature Valley,2023-12-04,2049-12-31,2016-11-09,4261,4.8,15.96,0.0,9.896
926,016500557647-C-P-L-15.99,Citracal Calcium Citrate Maximum Plus Caplets Plus D3 (280 Count),Medicine & Supplements,24.65,1970-01-01,1970-01-01,24.95,Was Price,24.95,Yes,15.99,2038318,ALWAYS_TWO_DAY,3.0,Walmart Fulfilled,no restrictions,Calcium,"[""Home Page"",""Health and Medicine"",""Vitamins and Supplements"",""Minerals"",""Calcium""]",Citracal,2023-01-17,2065-09-07,2016-03-18,488,4.7,19.99,0.0,9.86
927,029054000255-C-P-L1-39.99,First Alert GCO1CN Combination Explosive Gas and Carbon Monoxide Alarm with Backlit Digital Display,Electrical,48.64,1970-01-01,1970-01-01,58.68,Was Price,48.64,Yes,109.99,2039694,ALWAYS_TWO_DAY,0.9,Walmart Fulfilled,no restrictions,All Fire Safety,"[""Home Page"",""Home Improvement"",""Home Safety"",""Fire Safety"",""All Fire Safety""]",First Alert,2023-12-05,2049-12-31,2015-12-11,59,4.3,48.64,0.0,19.456000000000003
928,0696464309348-15.89,"Branded NESCAFE Taster's Choice House Blend, Instant Coffee, Caffeinated 14 oz.",Food & Beverage,27.98,1970-01-01,1970-01-01,24.98,Was Price,21.41,Yes,26.7,2038305,ALWAYS_TWO_DAY,1.0,Walmart Fulfilled,no restrictions,Nescafe Instant Coffee,"[""Home Page"",""Food"",""Coffee"",""Instant Coffee"",""Nescafe Instant Coffee""]",NESCAFÉ Taster's Choice,2023-12-04,2049-12-31,2020-05-20,5,4.4,14.99,0.0,11.192
929,070501103241-C-P-L1-18.49,"Neutrogena Rainbath Refreshing Shower & Bath Gel, Original, 40 fl. oz","Beauty, Personal Care, & Hygiene",28.0,1970-01-01,1970-01-01,36.29,Was Price,28.0,Yes,17.89,2048134,ALWAYS_TWO_DAY,5.0,WFS Eligible,no restrictions,Neutrogena Body Care,"[""Home Page"",""Personal Care"",""Bath & Body"",""Neutrogena Body Care""]",Neutrogena,2023-01-18,2049-12-31,2016-09-08,2327,4.8,28.0,0.0,11.200000000000001
